 #,Geo_ID,Geo_Feature,Geography_Name,Geography_Type,LE_birth,LE_birth_LCL,LE_birth_UCL,Overall_MR,Overall_MR_LCL,Overall_MR_UCL,COVID_a,COVID_a_LCL,COVID_a_UCL,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_EST,MHI,MHI_LCL,MHI_UCL,100_FPL_Pop,100_FPL_Pct,200_FPL_Pop,200_FPL_Pct,100_FPL_Child_Pop,100_FPL_Child_Pct,200_FPL_Child_Pop,200_FPL_Child_Pct,Poverty_PST,Edu_LessHS_Pop,Edu_HSGrad_Pop,Edu_College_Pop,Edu_Bach_Pop,Edu_LessHS_Pct,Edu_LessHS_Pct_LCL,Edu_LessHS_Pct_UCL,Edu_HSGrad_Pct,Edu_HSGrad_Pct_LCL,Edu_HSGrad_Pct_UCL,Edu_College_Pct,Edu_College_Pct_LCL,Edu_College_Pct_UCL,Edu_Bach_Pct,Edu_Bach_Pct_LCL,Edu_Bach_Pct_UCL,Preschool,Preschool_LCL,Preschool_UCL,Grade3_Eng,Grade3_Eng_LCL,Grade3_Eng_UCL,Grade3_Math,Grade3_Math_LCL,Grade3_Math_UCL,Diff_Child_C,Diff_Child_C_LCL,Diff_Child_C_UCL,Diff_Child_C_EST,Voting,Voting_LCL,Voting_UCL,SE_Support,SE_Support_LCL,SE_Support_UCL,SE_Support_EST
0,hp_target,Healthy People 2030 Target,Healthy People 2030 Target,Healthy People 2030 Target,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sd_2,District 2,District 2,Supervisorial District,79,78.8,79.2,724.2,712.3,736,373.4,364.9,382,16.9,14.5,19.2,direct estimate,77179,75920,78437,354611,18.1,790423,40.4,112829,26.8,237027,56.2,35.9,344809,276907,324720,397511,25.7,25.3,26.1,20.6,20.2,21,24.2,23.8,24.5,29.6,29.2,30,44.7,42.2,47.1,37.6,36.9,38.3,41.2,40.5,41.9,43.2,35,51.4,direct estimate,67.6,67.5,67.7,57.1,53.9,60.3,direct estimate
12,sd_3,District 3,District 3,Supervisorial District,81.8,81.6,82,607.3,597.4,617.1,282.2,275.5,288.9,10.8,8.6,12.9,direct estimate,100133,98683,101582,243338,12.1,555110,27.7,57009,16,132144,37,5.7,217510,241421,335616,664472,14.9,14.6,15.2,16.5,16.2,16.9,23,22.6,23.4,45.5,45.1,46,55.6,53.2,58.1,49.5,48.7,50.3,51.2,50.4,52,39.3,31,47.7,direct estimate,75.4,75.3,75.5,66.2,63.2,69.2,direct estimate
13,sd_4,District 4,District 4,Supervisorial District,79.9,79.6,80.1,695.4,684.4,706.3,344.4,335.7,353,12.2,10.4,13.9,direct estimate,88276,87092,89461,254340,12.5,605857,29.7,79092,18.4,186304,43.4,12.3,300390,317393,384920,401623,21.4,21,21.8,22.6,22.2,23,27.4,27,27.8,28.6,28.2,29,46.6,44.2,49,45.4,44.7,46.1,47.8,47.1,48.4,35.7,28.3,43,direct estimate,73.4,73.3,73.5,63.3,60.5,66.1,direct estimate
14,sd_5,District 5,District 5,Supervisorial District,80.5,80.2,80.7,679.2,668.3,690,294.4,286.8,301.9,11.3,9.3,13.3,direct estimate,101251,99791,102710,213048,11.4,477763,25.6,55394,15.1,123124,33.7,1.9,152210,257609,368476,534489,11.6,11.3,11.9,19.6,19.2,20,28.1,27.7,28.5,40.7,40.3,41.1,50.8,48,53.6,49.7,49,50.5,51,50.3,51.8,33.5,26.2,40.7,direct estimate,77.3,77.2,77.4,66.2,63.3,69.2,direct estimate
16,csa_city_alhambra,Alhambra,City of Alhambra,Incorporated City,84.2,83.1,85.3,508.3,468.2,548.4,258.6,230,287.1,14.9,12.3,17.5,small area estimate,80234,75903,84565,9968,12.2,23084,28.3,1975,15,4689,35.5,0,10481,13196,14528,23804,16.9,15.3,18.5,21.3,19.5,23,23.4,21.8,25.1,38.4,36.2,40.5,44.9,35.2,54.6,50.1,46,54.2,54,49.9,58,,,,,73.1,72.7,73.5,53.9,50,57.9,small area estimate
17,csa_city_arcadia,Arcadia,City of Arcadia,Incorporated City,84,83,85,542.5,492,593,246.4,213.7,279,11.2,9.3,13.2,small area estimate,108214,101699,114729,4443,8,10140,18.2,832,8.2,1987,19.5,0,2960,6937,8313,22194,7.3,5.9,8.7,17.2,15.2,19.1,20.6,18.4,22.8,54.9,51.9,58,62.9,47.1,78.7,77.1,73.7,80.5,80.7,77.5,83.8,,,,,77.6,77.1,78.1,62.8,59.1,66.4,small area estimate
20,csa_city_azusa,Azusa,City of Azusa,Incorporated City,80.5,78.8,82.3,656.1,583.1,729.1,422.8,359.9,485.6,14.3,12.1,16.5,small area estimate,81516,75615,87417,6323,12.8,15351,31,1938,19.4,4745,47.4,0,6280,7730,9030,8417,20,17.8,22.1,24.6,22.3,26.8,28.7,26.4,31,26.8,23.9,29.6,45.9,29,62.8,26.7,22.5,31,29.2,24.9,33.6,,,,,72.1,71.5,72.7,66.2,62.6,69.9,small area estimate
21,csa_city_baldwin_park,Baldwin Park,City of Baldwin Park,Incorporated City,79.3,78.1,80.5,727.8,664.7,790.9,627.8,568.2,687.3,15.5,13.1,17.9,small area estimate,76002,71316,80688,8894,12.7,21652,30.8,2736,17.9,6778,44.2,4.1,15838,14334,11072,6787,33,30.7,35.2,29.8,27.7,31.9,23.1,21.2,24.9,14.1,12.8,15.5,40.4,28.5,52.3,32.8,29.2,36.3,33.7,30.1,37.2,,,,,68.5,68,69,59.7,56.2,63.3,small area estimate
22,csa_city_bell,Bell,City of Bell,Incorporated City,79,76.6,81.3,706.4,607.5,805.3,568.7,479.7,657.7,17.2,14,20.5,small area estimate,56685,52385,60985,7263,21.9,18093,54.4,2641,31.6,5900,70.6,18.2,8771,6234,3905,1832,42.3,38.4,46.2,30.1,26.6,33.5,18.8,16.4,21.2,8.8,7,10.7,,,,35.5,30,40.9,35.8,30.4,41.2,,,,,63.7,62.9,64.5,57.6,52.3,62.9,small area estimate
23,csa_city_bell_gardens,Bell Gardens,City of Bell Gardens,Incorporated City,79.9,77.8,82,677.8,579.9,775.7,545.3,459.2,631.4,17.8,14.5,21.1,small area estimate,53935,49355,58515,9871,25.7,24541,64,3702,37.9,8335,85.4,59.1,11586,6714,4227,1476,48.3,44.2,52.3,28,25,30.9,17.6,15.2,20,6.1,4.9,7.4,48.6,32.9,64.3,23.9,19.7,28,28.1,23.8,32.5,,,,,63.7,63,64.4,56.3,51,61.7,small area estimate
